Pentade,SOPM
1,2.538
2,1.308
3,2.308
4,1.615
5,1.923
6,2
7,1.385
8,1.462
9,1.615
10,4.154
11,6.385
12,8.077
13,11.154
14,9.077
15,10.385
16,10.615
17,8.769
18,8
19,8.308
20,9.615
21,8.923
22,7.923
23,9.846
24,6.462
25,8.308
26,9.923
27,8.769
28,12
29,10.846
30,12.923
31,11.462
32,12.231
33,10.538
34,9.231
35,7.385
36,5
37,3.615
38,2.385
39,1.308
40,1.308
41,0.769
42,0.077
43,0.385
44,0.231
45,0.923
46,0.692
47,1.154
48,1.231
49,0.385
50,1.077
51,0.692
52,1.385
53,1.231
54,0.923
55,1.385
56,2.308
57,3.077
58,7.154
59,10.385
60,12.231
61,8.923
62,14.923
63,10.692
64,9.692
65,7.846
66,6.923
67,6.231
68,4.077
69,4.692
70,3.692
71,3.538
72,2.769
73,3.154
