year,wk31,wk32,wk33,wk34,wk35,wk36,wk37,wk38,wk39,wk40,wk41,wk42,wk43,wk44,wk45,wk46,wk47,wk48,wk49,wk50,wk51,wk52,wk53,wk54
2005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
2012,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2013,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
2014,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,2
2015,3,2,1,0,1,2,2,0,1,1,1,0,2,1,0,0,0,1,0,0,0,0,0,2
2016,50,1,17,0,2,1,4,10,1,3,5,18,19,20,32,4,4,2,1,2,4,0,0,2
2017,97,1,22,1,1,3,15,3,5,4,2,31,49,31,15,10,10,4,0,4,7,3,0,2
2018,143,0,30,4,0,1,22,6,1,2,10,40,22,37,42,37,10,3,2,8,3,3,1,2
2019,29,0,4,0,0,1,1,4,0,0,1,1,0,4,2,1,2,0,0,0,0,0,0,2
2020,15,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2
2021,12,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,2
2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
