RegionShot,OriginRegion,N
Jura,2,3
Jura,3,10
Jura,4,16
Jura,5,22
Jura,6,39
Jura,7,39
Jura,8,30
Jura,9,20
Jura,10,12
Jura,11,3
Jura,12,4
Jura,13,2
Jura,14,2
Plateau,2,0
Plateau,3,2
Plateau,4,2
Plateau,5,6
Plateau,6,23
Plateau,7,34
Plateau,8,22
Plateau,9,14
Plateau,10,6
Plateau,11,2
Plateau,12,0
Plateau,13,1
Plateau,14,1
NorthernAlps,2,0
NorthernAlps,3,0
NorthernAlps,4,0
NorthernAlps,5,0
NorthernAlps,6,3
NorthernAlps,7,5
NorthernAlps,8,8
NorthernAlps,9,1
NorthernAlps,10,0
NorthernAlps,11,0
NorthernAlps,12,0
NorthernAlps,13,0
NorthernAlps,14,0
